"reviews
","ratings"
"Se você quer comer uma massa boa e caseira o Barolo é o lugar! Preços dentro da media para aquilo que é oferecido. Comida muitíssimo boa e muitas opções de bebidas. Para um dia frio um vinho que eles têm varios e para um dia quente possuem cervejas diferentes que são ótimas! Amei voltaria sempre 

","5"
"Uma otima escolha no shopping Barigui Curitiba, fomos muito bem atendidos, pois considero  o atendimento o cartão de visitas de um restaurante. Quando perguntei se eles tinham um vinho de uma determinada uva que não estava na carta, a atendende prontamente me atendeu com um vinho de minha preferencia, mesmo não estando na cata. As massas fabulosas.
","5"
"Minha melhor escolha para comemorar aniversário! Realizei a reserva por telefone para o sábado no horário de almoço, o atendente perguntou em qual local do restaurante eu queria a mesa e ao informar o horário atendeu prontamente! No dia fomos muito bem atendidos pelo garçom Luiz que indicou bons vinhos e estava sempre atento ao nosso chamado. A comida estava deliciosa (assim como no Barolo da Av Silva Jardim), aproveitamos o cardápio do Festival Bom Gourmet e ganhei uma sobremesa cortesia pelo aniversário! Tive momentos muito felizes com minha família nesse maravilhoso restaurante, super recomento!!! =)
","5"
"No dia 15/03/19, estivemos no Barolo do Shopping Barigui, chegamos por volta das 20h30min. O restaurante estava cheio e não fomos recebidos por ninguém, procuramos o caixa que indicou algumas mesas. Andamos até uma delas e perguntamos para uma atendente qual lugar estava disponível, a mesma apontou o dedo para uma mesa que ficava em uma área de grande passagem, questionamos se não havia outra opção e mesma atendente apenas levantou o dedo apontando para uma mesa mais ao fundo. Assim que nos acomodamos um garçom trouxe o menu e escolhemos o cardápio do Bom Gourmet, fazendo a opção pelo Ravióli de Carne. Em menos de dois minutos e antes mesmo da chegada da água, outro garçom apareceu com o Ravióli, nos surpreendemos e avisamos que não havíamos nem recebido a entrada. Assim que este garçom saiu, em menos de um minuto, recebemos o couvert e pouco depois a água. As coisas não haviam começado bem, mas nem imaginávamos que só piorariam. Cerca de uns 5min depois da entrega do couvert, enquanto ainda comíamos o pão, outro garçom apareceu com o ravióli, querendo já retirar a entrada. Na sequência uma garçonete também apareceu querendo retirar a entrada e já colocando a mão na cesta. Literalmente eu estava com o pão na boca, espantado com tudo aquilo, apenas consegui dizer que gostaria de terminar de comer o pão com calma, daí, está garçonete começou a discutir com o garçom e “decidiram” que poderíamos usufrui do direito de terminar de comer a entrada mas já deixaram o ravióli. Bem, aí já tínhamos motivo suficiente para nos levantamos e ir embora. O Ravióli estava bem morno e infelizmente não tinha nada de especial. Também a entrada não passava de um pão simples com molho e queijo. A esta altura já estávamos comendo com pressa pois ficou evidente a intenção do restaurante em servir o menu do Bom Gourmet de forma qualquer. A indignação foi tanta que chamamos outro garçom e perguntamos se estavam com algum problema na casa, contando o ocorrido. O garçom se desculpou e logo o gerente apareceu, se desculpou e nos deu a opção de pedir uma sobremesa não padrão do menu do festival. Considero que isso foi o mínimo que poderia ser feito. Em resumo a experiência foi PÉSSIMA. Comida “jogada”, falta de preparo e educação. Foram 140 reais  pagos com grande sensação de insatisfação e frustração
","1"
"Fui ao Barolo dia 18/4 , comemorar meu aniversário de casamento ( Ainda bem que já sou casado,  senão perderia a noiva) , programei um dia especial , que terminaria em um lugar para jantar bem indicado. Porém... Pedi um filet Barolo ao ponto com penne , o macarrão veio todo grudado , metade do filé,  veio fino e totalmente passado , com aquela casquinha , só que salgada para valer . DECEPÇÃO TOTAL. 
","1"
"Restaurante italiano, seguindo o sucesso do Barolo da Silva Jardim. Cardápio variado, baseado principalmente em massas, com boas opções de molhos. Otimo atendimento. O local, apesar de ser dentro de um shopping, se pegar mesa perto da janela, nos fundos, é muito agradável.
","5"
"Pratos deliciosos para duas ou três pessoas que vem na medida certa para a sua refeição e com valor que vale a pena.

","5"
"Boa localização, excelente atendimento, comida deliciosa, preço alto mas adequado ao que oferece. Fica dentro do shopping.
","5"
"Prefiro esse Barolo, ao da Av.Silva Jardim porque os donos não ficam querendo que vc coma e vá embora. Tem menos movimento e é muito bem servido, as massas sempre deliciosas.  
","4"
"Tudo muito bom, os pratos são maravilhosos uma massa dos sonhos. O atendimento é realizado de forma cordial, atenciosa dando dicas e detalhes dos pratos. Muito cuidado nos preços das bebidas, um assalto! Olhem bem antes de pedir, mesmo uma água o valor é altíssimo. Isso prejudica o restante pois tu sente-se explorado em algo que tem pouco significado no jantar.
","4"
"Lugar maravilhoso, tivemos ótimo atendimento. Micaela é ótima, agradeçamos pela sujestão do prato e por nós atender tão bem. Obrigada ❤️
","5"
"A comida tem um ótimo tempero, na medida. Mas o segredo está no atendimento. Fomos atendidos a noite inteira pela Micaeli, um Cearense simpática que torna o atendimento único - parece uma amiga de longa data. Voltarei mais vezes pela comida e pelo atendimento. Muito obrigado
","5"
